# Exact Riemann solution for problem:	Lax
# Discretization:	zonal
# Domain bounds:	0.00000e+00	1.00000e+00
# Iterface position:	5.00000e-01
# Gamma:	1.40000e+00
# Left  state [dens,velx,pres]:	4.45000e-01	6.98876e-01	3.52773e+00
# Right state [dens,velx,pres]:	5.00000e-01	0.00000e+00	5.71000e-01
# Time:	1.60000e-01
                x	    dens [$\rho$]	      mom [$\mu$]	   e [$\epsilon$]	       pres [$p$]	             eint	       velx [$v$]	             cspd
  9.125000000e-02	  4.363988581e-01	  3.333088243e-01	  8.708888027e+00	  3.432640883e+00	  1.966458447e+01	  7.637710736e-01	  3.318458574e+00
  9.375000000e-02	  4.346892193e-01	  3.376630676e-01	  8.665719014e+00	  3.413828818e+00	  1.963373294e+01	  7.767919069e-01	  3.315854407e+00
  9.625000000e-02	  4.329849429e-01	  3.419770242e-01	  8.622811881e+00	  3.395105190e+00	  1.960290563e+01	  7.898127402e-01	  3.313250240e+00
  9.875000000e-02	  4.312860162e-01	  3.462508936e-01	  8.580165056e+00	  3.376469654e+00	  1.957210254e+01	  8.028335736e-01	  3.310646074e+00
  1.012500000e-01	  4.295924266e-01	  3.504848744e-01	  8.537776972e+00	  3.357921863e+00	  1.954132367e+01	  8.158544069e-01	  3.308041907e+00
  1.037500000e-01	  4.279041616e-01	  3.546791648e-01	  8.495646071e+00	  3.339461473e+00	  1.951056903e+01	  8.288752402e-01	  3.305437740e+00
  1.062500000e-01	  4.262212086e-01	  3.588339620e-01	  8.453770802e+00	  3.321088140e+00	  1.947983860e+01	  8.418960736e-01	  3.302833574e+00
  1.087500000e-01	  4.245435550e-01	  3.629494629e-01	  8.412149622e+00	  3.302801522e+00	  1.944913239e+01	  8.549169069e-01	  3.300229407e+00
  1.112500000e-01	  4.228711883e-01	  3.670258636e-01	  8.370780996e+00	  3.284601278e+00	  1.941845040e+01	  8.679377402e-01	  3.297625240e+00
  1.137500000e-01	  4.212040960e-01	  3.710633596e-01	  8.329663394e+00	  3.266487068e+00	  1.938779263e+01	  8.809585736e-01	  3.295021074e+00
  1.162500000e-01	  4.195422656e-01	  3.750621458e-01	  8.288795297e+00	  3.248458552e+00	  1.935715909e+01	  8.939794069e-01	  3.292416907e+00
  1.187500000e-01	  4.178856847e-01	  3.790224164e-01	  8.248175191e+00	  3.230515392e+00	  1.932654976e+01	  9.070002402e-01	  3.289812740e+00
  1.212500000e-01	  4.162343408e-01	  3.829443650e-01	  8.207801570e+00	  3.212657251e+00	  1.929596465e+01	  9.200210736e-01	  3.287208574e+00
  1.237500000e-01	  4.145882214e-01	  3.868281847e-01	  8.167672936e+00	  3.194883793e+00	  1.926540377e+01	  9.330419069e-01	  3.284604407e+00
  1.262500000e-01	  4.129473142e-01	  3.906740677e-01	  8.127787799e+00	  3.177194684e+00	  1.923486710e+01	  9.460627402e-01	  3.282000240e+00
  1.287500000e-01	  4.113116068e-01	  3.944822057e-01	  8.088144673e+00	  3.159589589e+00	  1.920435466e+01	  9.590835736e-01	  3.279396074e+00
  1.312500000e-01	  4.096810868e-01	  3.982527899e-01	  8.048742084e+00	  3.142068175e+00	  1.917386643e+01	  9.721044069e-01	  3.276791907e+00
  1.337500000e-01	  4.080557419e-01	  4.019860108e-01	  8.009578562e+00	  3.124630112e+00	  1.914340243e+01	  9.851252402e-01	  3.274187740e+00
  1.362500000e-01	  4.064355597e-01	  4.056820581e-01	  7.970652646e+00	  3.107275068e+00	  1.911296264e+01	  9.981460736e-01	  3.271583574e+00
  1.387500000e-01	  4.048205280e-01	  4.093411211e-01	  7.931962880e+00	  3.090002713e+00	  1.908254708e+01	  1.011166907e+00	  3.268979407e+00
  1.412500000e-01	  4.032106344e-01	  4.129633884e-01	  7.893507818e+00	  3.072812719e+00	  1.905215573e+01	  1.024187740e+00	  3.266375240e+00
  1.437500000e-01	  4.016058666e-01	  4.165490480e-01	  7.855286021e+00	  3.055704759e+00	  1.902178861e+01	  1.037208574e+00	  3.263771074e+00
  1.462500000e-01	  4.000062125e-01	  4.200982873e-01	  7.817296054e+00	  3.038678506e+00	  1.899144570e+01	  1.050229407e+00	  3.261166907e+00
  1.487500000e-01	  3.984116597e-01	  4.236112929e-01	  7.779536492e+00	  3.021733635e+00	  1.896112702e+01	  1.063250240e+00	  3.258562740e+00
  1.512500000e-01	  3.968221962e-01	  4.270882511e-01	  7.742005917e+00	  3.004869821e+00	  1.893083256e+01	  1.076271074e+00	  3.255958574e+00
  1.537500000e-01	  3.952378096e-01	  4.305293473e-01	  7.704702917e+00	  2.988086740e+00	  1.890056232e+01	  1.089291907e+00	  3.253354407e+00
  1.562500000e-01	  3.936584878e-01	  4.339347664e-01	  7.667626088e+00	  2.971384071e+00	  1.887031629e+01	  1.102312740e+00	  3.250750240e+00
  1.587500000e-01	  3.920842187e-01	  4.373046928e-01	  7.630774032e+00	  2.954761492e+00	  1.884009449e+01	  1.115333574e+00	  3.248146074e+00
  1.612500000e-01	  3.905149902e-01	  4.406393101e-01	  7.594145360e+00	  2.938218683e+00	  1.880989691e+01	  1.128354407e+00	  3.245541907e+00
  1.637500000e-01	  3.889507900e-01	  4.439388014e-01	  7.557738688e+00	  2.921755324e+00	  1.877972355e+01	  1.141375240e+00	  3.242937740e+00
  1.662500000e-01	  3.873916061e-01	  4.472033491e-01	  7.521552639e+00	  2.905371098e+00	  1.874957441e+01	  1.154396074e+00	  3.240333574e+00
  1.687500000e-01	  3.858374265e-01	  4.504331351e-01	  7.485585845e+00	  2.889065686e+00	  1.871944949e+01	  1.167416907e+00	  3.237729407e+00
  1.712500000e-01	  3.842882391e-01	  4.536283406e-01	  7.449836942e+00	  2.872838774e+00	  1.868934879e+01	  1.180437740e+00	  3.235125240e+00
  1.737500000e-01	  3.827440319e-01	  4.567891463e-01	  7.414304575e+00	  2.856690046e+00	  1.865927231e+01	  1.193458574e+00	  3.232521074e+00
  1.762500000e-01	  3.812047927e-01	  4.599157322e-01	  7.378987396e+00	  2.840619187e+00	  1.862922005e+01	  1.206479407e+00	  3.229916907e+00
  1.787500000e-01	  3.796705098e-01	  4.630082778e-01	  7.343884063e+00	  2.824625884e+00	  1.859919201e+01	  1.219500240e+00	  3.227312740e+00
  1.812500000e-01	  3.781411709e-01	  4.660669619e-01	  7.308993240e+00	  2.808709826e+00	  1.856918819e+01	  1.232521074e+00	  3.224708574e+00
  1.837500000e-01	  3.766167643e-01	  4.690919628e-01	  7.274313600e+00	  2.792870700e+00	  1.853920859e+01	  1.245541907e+00	  3.222104407e+00
