# Exact Riemann solution for problem:	Toro-1
# Discretization:	zonal
# Domain bounds:	0.00000e+00	1.00000e+00
# Iterface position:	3.00000e-01
# Gamma:	1.40000e+00
# Left  state [dens,velx,pres]:	1.00000e+00	7.50000e-01	1.00000e+00
# Right state [dens,velx,pres]:	1.25000e-01	0.00000e+00	1.00000e-01
# Time:	2.00000e-01
                x	    dens [$\rho$]	      mom [$\mu$]	   e [$\epsilon$]	       pres [$p$]	             eint	       velx [$v$]	             cspd
  3.650000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  3.750000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  3.850000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  3.950000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  4.050000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  4.150000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  4.250000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  4.350000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  4.450000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  4.550000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  4.650000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  4.750000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  4.850000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  4.950000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  5.050000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  5.150000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  5.250000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  5.350000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  5.450000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  5.550000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  5.650000000e-01	  5.798666875e-01	  7.891437753e-01	  1.702708977e+00	  4.662935668e-01	  2.010348141e+00	  1.360905519e+00	  1.061034853e+00
  5.750000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  5.850000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  5.950000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  6.050000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  6.150000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  6.250000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  6.350000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  6.450000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  6.550000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  6.650000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  6.750000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  6.850000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  6.950000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  7.050000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  7.150000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  7.250000000e-01	  3.397002349e-01	  4.622999245e-01	  1.480307176e+00	  4.662935668e-01	  3.431654728e+00	  1.360905519e+00	  1.386263556e+00
  7.350000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  7.450000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  7.550000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  7.650000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  7.750000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  7.850000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  7.950000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  8.050000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  8.150000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  8.250000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  8.350000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  8.450000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  8.550000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  8.650000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  8.750000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  8.850000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  8.950000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  9.050000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  9.150000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  9.250000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  9.350000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  9.450000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  9.550000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  9.650000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  9.750000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  9.850000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
  9.950000000e-01	  1.250000000e-01	  0.000000000e+00	  2.500000000e-01	  1.000000000e-01	  2.000000000e+00	  0.000000000e+00	  1.058300524e+00
